trial,step,timestamp,eef_pos_x,eef_pos_y,eef_pos_z,eef_quat_x,eef_quat_y,eef_quat_z,eef_quat_w,gripper_pos,cube_1_pos_x,cube_1_pos_y,cube_1_pos_z,cube_1_quat_x,cube_1_quat_y,cube_1_quat_z,cube_1_quat_w,cube_2_pos_x,cube_2_pos_y,cube_2_pos_z,cube_2_quat_x,cube_2_quat_y,cube_2_quat_z,cube_2_quat_w,cube_3_pos_x,cube_3_pos_y,cube_3_pos_z,cube_3_quat_x,cube_3_quat_y,cube_3_quat_z,cube_3_quat_w,gripper_to_cube_1_x,gripper_to_cube_1_y,gripper_to_cube_1_z,gripper_to_cube_1_dist,gripper_to_cube_2_x,gripper_to_cube_2_y,gripper_to_cube_2_z,gripper_to_cube_2_dist,gripper_to_cube_3_x,gripper_to_cube_3_y,gripper_to_cube_3_z,gripper_to_cube_3_dist,cube_1_to_cube_2_x,cube_1_to_cube_2_y,cube_1_to_cube_2_z,cube_1_to_cube_2_dist,cube_2_to_cube_3_x,cube_2_to_cube_3_y,cube_2_to_cube_3_z,cube_2_to_cube_3_dist,cube_1_to_cube_3_x,cube_1_to_cube_3_y,cube_1_to_cube_3_z,cube_1_to_cube_3_dist,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7
0,0,0.0,0.46049136,-0.020344617,0.26533088,-0.0013082769,0.9983226,0.03836883,0.043338794,0.03843917,0.47263965,-0.18606094,0.017568644,0.0051767444,-0.0018161396,-0.014253021,0.99988335,0.3625776,-0.16695617,0.020934584,-0.0045569222,0.007511805,-0.0012900627,0.99996054,0.39598772,0.08246045,0.017941386,-0.017238222,0.015210661,0.0036263762,0.9997291,0.012435496,-0.16623758,-0.24799874,0.29881927,-0.09762657,-0.14713281,-0.24463281,0.3017022,-0.064216435,0.102283806,-0.247626,0.27550748,0.11006206,-0.019104764,-0.0033659395,0.111758575,-0.033410132,-0.24941662,0.002993198,0.25166216,0.07665193,-0.26852137,-0.00037274137,0.27924788,0.4341528,-0.05830604,0.27157366,-0.00082872336,0.9991659,0.025103763,0.027524991,0.99982166
0,1,0.05,0.45227313,-0.02384327,0.26389828,-0.002308177,0.9986507,0.03535517,0.037964355,0.036622062,0.47466514,-0.1842427,0.033032324,0.012914495,-0.03033392,-0.0022353912,0.9994539,0.36567664,-0.16985434,0.03197746,-0.0011103352,-0.008680233,0.009739163,0.9999143,0.4001942,0.07944301,0.030138172,-0.00089243246,-0.019570531,0.004453549,0.9997982,0.023098767,-0.15986821,-0.23089138,0.281784,-0.08588973,-0.14547986,-0.23194624,0.28695032,-0.05137217,0.10381749,-0.23378554,0.26090774,0.10898849,-0.014388353,0.0010548644,0.1099392,-0.034517556,-0.24929735,0.0018392876,0.25168237,0.07447094,-0.2636857,0.002894152,0.27401543,0.4255307,-0.06594641,0.29802644,0.0029594437,0.99954027,0.021663595,0.022506623,0.999962
0,2,0.1,0.44272357,-0.036368284,0.26572564,-0.0063060364,0.9991197,0.026395658,0.031989515,0.037095215,0.4725874,-0.18171722,0.03483884,-0.0220529,-0.01695896,-0.015419164,0.9994941,0.36334366,-0.1686126,0.030539433,0.004854233,0.011646357,0.013068142,0.99983495,0.399085,0.08322894,0.03174698,-0.00018026566,-0.0006491157,0.0006336569,0.9999996,0.029940605,-0.14740716,-0.23356383,0.27780816,-0.079303145,-0.13430254,-0.23786323,0.2844382,-0.043561816,0.11753899,-0.23665568,0.26780397,0.10924375,-0.013104618,0.004299408,0.11011091,-0.03574133,-0.25184155,-0.0012075473,0.25436798,0.07350242,-0.26494616,0.0030918606,0.27497026,0.40861556,-0.104270324,0.31536192,0.0048549315,0.9997176,0.02010249,0.019313764,0.999985
0,3,0.15000000000000002,0.4345492,-0.049656685,0.2783095,-0.004505288,0.9991523,0.021019375,0.03510819,0.041625675,0.47201928,-0.18333934,0.03176208,0.0074393353,-0.007171686,0.01086968,0.9998875,0.3600321,-0.16769661,0.033073645,0.010827029,-0.0013171573,0.007955169,0.99990886,0.39854896,0.08136641,0.033852328,0.011380516,-0.009876105,0.02174201,0.99965006,0.038071305,-0.13355085,-0.24737786,0.28369185,-0.07391587,-0.11790812,-0.24606629,0.28269154,-0.03539902,0.13115491,-0.24528761,0.28039384,0.11198717,-0.015642732,-0.0013115667,0.113082014,-0.03851685,-0.24906301,-0.00077868253,0.2520249,0.073470324,-0.26470575,-0.0020902492,0.27472058,0.3941352,-0.1262039,0.3317938,0.007041537,0.99985254,0.015114827,0.014666906,1.0001413
0,4,0.2,0.42177877,-0.06953401,0.2949824,-0.0037084008,0.9992953,0.0066226325,0.03676017,0.041319285,0.47434658,-0.18406446,0.03105875,-0.0017918849,0.010240889,-0.0011066877,0.99994534,0.36468798,-0.16733095,0.032319654,-0.007591991,-0.005395644,-0.010575623,0.99990064,0.39668053,0.08312729,0.03220322,-0.010894659,-0.025395792,-0.0049460013,0.99960583,0.050046504,-0.113740206,-0.26264793,0.2905605,-0.059612095,-0.09700669,-0.26138702,0.28510886,-0.02761954,0.15345155,-0.26150346,0.30445734,0.1096586,-0.016733512,-0.0012609046,0.11093515,-0.031992555,-0.25045824,0.00011643395,0.2524933,0.077666044,-0.26719177,-0.0011444706,0.27825305,0.37872356,-0.1493135,0.34397355,0.00780564,0.99989206,0.010175817,0.013970494,0.99987555
0,5,0.25,0.4131652,-0.09631442,0.3098719,-0.005305258,0.999161,-0.0052190567,0.040272992,0.04228399,0.47564635,-0.18269467,0.03553201,0.0029051767,-0.0011681754,0.0028627813,0.999991,0.36860394,-0.16594967,0.03315765,0.0035946348,0.0074448013,-0.02976681,0.9995227,0.39748624,0.07852017,0.031699326,-0.0073593077,-0.0032011883,-0.013490326,0.9998768,0.06223941,-0.08960663,-0.27413943,0.29505172,-0.044802994,-0.07286163,-0.2765138,0.28944084,-0.015920699,0.17160821,-0.2779721,0.32706472,0.1070424,-0.016745001,0.0023743585,0.10837024,-0.028882295,-0.24446985,0.0014583245,0.24617437,0.07816011,-0.26121485,0.003832683,0.2726846,0.36871994,-0.16575758,0.35136986,0.009012919,0.99995834,0.0045058536,0.014557721,1.0000066
0,6,0.30000000000000004,0.40068227,-0.11191322,0.3233359,-0.008434336,0.9986287,-0.022784844,0.046372384,0.040784378,0.47581378,-0.18145338,0.032678694,-0.007050325,0.0027389994,0.0021258746,0.9999692,0.3667935,-0.16982807,0.03244919,0.012956563,-0.019287452,-0.0044395723,0.99972016,0.39849705,0.082399145,0.029413193,0.0051461495,0.0037792642,0.004539004,0.9999693,0.073583096,-0.065509655,-0.29239902,0.30855012,-0.035437167,-0.05388435,-0.29262853,0.2996511,-0.003733635,0.19834286,-0.29566452,0.35604963,0.10902026,-0.011625305,0.00022950396,0.10963858,-0.03170353,-0.25222722,0.003035996,0.25423002,0.07731673,-0.26385254,0.0032655,0.27496672,0.36673328,-0.17135784,0.35369766,0.009497066,0.99992234,0.002559418,0.01373578,1.0000956
0,7,0.35000000000000003,0.3955534,-0.13493063,0.3398883,-0.004971397,0.99813825,-0.034935076,0.049748544,0.041448303,0.47563973,-0.18032035,0.03223654,0.0039602057,-0.0052509448,0.00040605295,0.9999783,0.36459234,-0.16754436,0.033037405,-0.004223938,-0.0065529547,0.007485715,0.9999416,0.3971474,0.08382024,0.03014878,0.0014121593,0.0031792277,-0.00022679784,0.9999939,0.08331567,-0.044376716,-0.30601007,0.32023892,-0.027731717,-0.03160073,-0.30520922,0.30809143,0.004823327,0.21976388,-0.30809784,0.3784755,0.11104739,-0.012775987,-0.00080086663,0.111782774,-0.032555044,-0.2513646,0.0028886255,0.25348043,0.07849234,-0.2641406,0.0020877589,0.27556428,0.36683294,-0.16993584,0.35085413,0.009398821,0.9999475,0.0024892925,0.0140406275,0.9999885
0,8,0.4,0.38307518,-0.15060806,0.3446515,-0.005874273,0.99764943,-0.043109003,0.052941248,0.03581383,0.47327527,-0.18106042,0.035047334,-0.0071148854,-0.002262825,-0.011062425,0.999911,0.36454013,-0.16640306,0.029829321,0.0010307071,0.0026205247,-0.012155974,0.99992216,0.39459637,0.07982129,0.032554016,-0.0022233382,0.0053949663,-0.014941478,0.9998714,0.089408815,-0.030590266,-0.31195927,0.32595748,-0.01932633,-0.015932903,-0.31717727,0.3181647,0.010729909,0.23029144,-0.3144526,0.38990986,0.108735144,-0.014657363,0.0052180123,0.109842606,-0.030056238,-0.24622434,-0.002724694,0.24806698,0.078678906,-0.26088172,0.0024933182,0.2724993,0.36749554,-0.1689563,0.35270452,0.009499755,0.9997557,0.0023210961,0.0136901885,1.0000309
0,9,0.45,0.37728563,-0.15818179,0.3549307,-0.005130924,0.99771994,-0.046098247,0.04902609,0.03982991,0.4734337,-0.18295105,0.031695094,-0.0033469442,-0.0032998035,-0.012213726,0.9999144,0.36683372,-0.16662435,0.028644953,-0.0077788583,-0.010486412,0.0075376714,0.99988633,0.39757887,0.07965208,0.03390785,-0.0033968969,-0.0036083364,0.0034336667,0.9999818,0.09624651,-0.02322951,-0.32054397,0.33548686,-0.010353476,-0.006902814,-0.32359412,0.3238333,0.020391673,0.23937362,-0.3183312,0.39881113,0.10659999,-0.016326696,0.003050141,0.10788615,-0.030745149,-0.24627644,-0.0052628964,0.24824393,0.07585484,-0.26260313,-0.0022127554,0.27334824,0.36788806,-0.16916725,0.35162225,0.009543745,0.9999587,0.0023626233,0.0135478955,0.9999092
